M,N,K,ProcessNum,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
10000,10000,32,4,0.143922,0.5913193333333333,0.0,44.468531565709206,4.10860975621054
10000,10000,32,8,0.07990633333333334,0.6106666666666667,0.0,80.09377646327574,7.642281170870894
10000,10000,32,12,0.05627066666666667,0.6299706666666666,0.0,113.73599033244082,11.19536525839395
10000,10000,32,16,0.042060999999999994,0.654466,0.0,152.15995815601156,15.559924871020662
10000,10000,32,20,0.035381333333333334,0.6692693333333333,0.0,180.88634308109738,18.91588785046729
10000,10000,64,4,0.257661,0.9900690000000001,0.0,49.67767725810271,3.842525644160351
10000,10000,64,8,0.13560799999999998,1.0918736666666666,0.0,94.38971152144418,8.051690657385013
10000,10000,64,12,0.10405366666666667,1.097415,0.0,123.01344498511986,10.546624978776977
10000,10000,64,16,0.07694166666666667,1.2034893333333334,0.0,166.35979638254088,15.641581284522907
10000,10000,64,20,0.061477666666666674,1.1653896666666668,0.0,208.20568987111852,18.956309337266106
10000,10000,128,4,0.49441466666666667,1.9777440000000002,0.0,51.77839923842605,4.000172594664129
10000,10000,128,8,0.30111533333333335,2.1371106666666666,0.0,85.01725806058808,7.097315978595134
10000,10000,128,12,0.19960066666666668,2.211343,0.0,128.2560846490159,11.078835742031588
10000,10000,128,16,0.142807,2.2822636666666667,0.0,179.2629212853712,15.981455157426925
10000,10000,128,20,0.11975333333333334,2.3255120000000002,0.0,213.77275510772145,19.41918387797139
10000,10000,156,4,0.6214413333333334,2.4826586666666666,0.0,50.20586550406474,3.9950008689476717
10000,10000,156,8,0.35344299999999995,2.5752623333333333,0.0,88.27448838992427,7.286216825155212
10000,10000,156,12,0.23910733333333334,2.727743333333333,0.0,130.48533294671014,11.408028751383618
10000,10000,156,16,0.17896766666666666,2.7598153333333335,0.0,174.3331663261334,15.42074825434017
10000,10000,156,20,0.14561866666666667,2.8855090000000003,0.0,214.25824527990918,19.815515867929022
